file_name,column_name,dtype_hint,description
feed_items.csv.gz,viewer_mode,str,unauth|auth.
feed_items.csv.gz,collected_at_utc,str,"Snapshot time (UTC, ISO-8601)."
feed_items.csv.gz,rank,int,1-based rank within feed snapshot.
feed_items.csv.gz,post_uri,str,Post at-uri.
feed_items.csv.gz,post_cid,str,Post CID.
feed_items.csv.gz,author_did,str,Author DID.
feed_items.csv.gz,author_handle,str,Author handle if present.
feed_items.csv.gz,reason_type,str,Feed item reason type (if present).
feed_items.csv.gz,reason_actor_did,str,Reason actor DID (if present).
posts.csv.gz,post_uri,str,Post at-uri.
posts.csv.gz,post_cid,str,Post CID.
posts.csv.gz,author_did,str,Author DID.
posts.csv.gz,author_handle,str,Author handle if present.
posts.csv.gz,record_created_at,str,Record createdAt timestamp.
posts.csv.gz,indexed_at,str,IndexedAt timestamp (if present).
posts.csv.gz,text,str,Post text.
posts.csv.gz,text_len,int,Length of text in characters.
posts.csv.gz,is_reply,int,1 if reply else 0.
posts.csv.gz,reply_parent_uri,str,Parent post uri if reply.
posts.csv.gz,reply_root_uri,str,Root post uri if reply.
posts.csv.gz,is_quote,int,1 if quote embed else 0.
posts.csv.gz,quoted_uri,str,Quoted post uri if quote.
posts.csv.gz,embed_type,str,Embed type string (if present).
posts.csv.gz,image_count,int,Number of images in embed if any.
posts.csv.gz,external_uri,str,External embed URL if any.
posts.csv.gz,external_domain,str,Domain of external_uri if any.
posts.csv.gz,facet_link_count,int,Number of link facets.
posts.csv.gz,link_domains_json,str,JSON array of link domains from facets.
posts.csv.gz,mention_count,int,Number of mention facets.
posts.csv.gz,hashtag_count,int,Number of hashtag facets.
posts.csv.gz,like_count,int,Like count if present.
posts.csv.gz,repost_count,int,Repost count if present.
posts.csv.gz,reply_count,int,Reply count if present.
posts.csv.gz,quote_count,int,Quote count if present.
posts.csv.gz,langs_json,str,JSON array of detected languages if present.
posts.csv.gz,post_labels_json,str,JSON array of post labels if present.
posts.csv.gz,author_labels_json,str,JSON array of author labels if present.
post_labels.csv.gz,post_uri,str,Post at-uri.
post_labels.csv.gz,post_cid,str,Post CID.
post_labels.csv.gz,feed_uri,str,Feed generator at-uri.
post_labels.csv.gz,viewer_mode,str,unauth|auth.
post_labels.csv.gz,collected_at_utc,str,"Snapshot time (UTC, ISO-8601)."
post_labels.csv.gz,label_src,str,Label source.
post_labels.csv.gz,label_val,str,Label value.
post_labels.csv.gz,label_neg,int,Label negation flag if present.
post_labels.csv.gz,label_uri,str,Label URI if present.
authors.csv.gz,author_did,str,Author DID.
authors.csv.gz,handle,str,Handle (if present).
authors.csv.gz,display_name,str,Display name (if present).
authors.csv.gz,followers_count,int,Followers count (if present).
authors.csv.gz,follows_count,int,Follows count (if present).
authors.csv.gz,posts_count,int,Posts count (if present).
authors.csv.gz,collected_at_utc,str,"Profile hydration time (UTC, ISO-8601)."
provider_stats.csv,provider_bucket,str,did:web domain or plc_bucket.
provider_stats.csv,hosted_feed_count_api,int,Feeds hosted by this provider (API index).
provider_stats.csv,discovery_slot_count,int,Total starter pack feed slots attributed to provider.
provider_stats.csv,hosting_share,float,hosted_feed_count_api / total_indexed_feeds.
provider_stats.csv,discovery_share,float,discovery_slot_count / total_discovery_slots.
provider_stats.csv,leverage_ratio,float,discovery_share / hosting_share.
validation_report.csv,check_name,str,Validation check name.
validation_report.csv,status,str,PASS|FAIL.
validation_report.csv,observed_value,str,Observed value (stringified).
validation_report.csv,expected_threshold,str,Expected threshold or condition.
validation_report.csv,notes,str,Extra notes or remediation hints.
manifest.csv,file_name,str,CSV file name under OUT_DIR/csv/.
manifest.csv,bytes,int,File size in bytes.
manifest.csv,sha256,str,SHA-256 hash of file contents.
manifest.csv,created_at_utc,str,"Manifest generation time (UTC, ISO-8601)."
http_stats.csv,endpoint_name,str,Logical endpoint name.
http_stats.csv,request_count,int,Total requests made.
http_stats.csv,success_count,int,2xx responses.
http_stats.csv,rate_limited_count,int,429 responses.
http_stats.csv,avg_latency_ms,float,Average latency (ms).
http_stats.csv,p95_latency_ms,float,Approximate p95 latency (ms) from histogram.
